Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control ()	Pump Control ()
0.5122895200	-532.3886108398	211.2064666748	0.0000000000	0.0000000000
0.5123473794	-280.8510437012	209.6354980469	0.0258545534	0.0000000000
0.5124052463	-185.4123077393	206.7278137207	0.1629405279	0.0000000000
0.5124631444	-190.5594329834	205.8225250244	0.1221277188	0.2834877524
0.5125210046	-150.4690551758	174.3343353271	0.9424096449	5.4401941761
0.5125788615	-260.0860290527	200.1649780273	0.0000000000	0.0000000000
0.5126367391	-154.7529754639	172.9064788818	0.1756274133	2.2882674432
0.5126946008	-206.7935333252	187.8304290771	0.0234374077	0.2136828430
0.5127524835	-123.7046127319	157.7099304199	0.0648679882	0.2852806321
0.5128103666	-139.8126525879	170.3139801025	0.0000000000	0.4699913536
0.5128682165	-138.2540588379	175.7208709717	0.0421644496	0.0000000000
0.5129260890	-325.3075866699	206.6426239014	0.0000000000	0.4633037157
0.5129839789	-396.5969543457	204.7142639160	0.0000000000	0.0000000000
0.5130418331	-325.0783996582	187.5385437012	0.7406246114	4.9416080918
0.5130997058	-379.4593811035	202.2835540771	0.4690751834	3.3219650826
0.5131575620	-486.7369995117	199.4920043945	0.3139188895	3.2099958187
0.5132154477	-463.3118591309	203.2010345459	0.5229108460	4.6205176691
0.5132733052	-452.8853149414	203.4915161133	0.5720835358	4.1442760321
0.5133311960	-258.9093017578	203.9739990234	0.6516343720	2.0160649675
0.5133890599	-412.9102172852	198.6670532227	0.7062834304	4.9019630017
0.5134469282	-459.0018005371	203.5504455566	1.0000000000	4.4587494507
0.5135047864	-399.6086120605	203.2401428223	0.0825253572	0.9497450185
0.5135626519	-429.0985717773	194.8365936279	0.5457383600	1.1682434991
0.5136205265	-492.1613769531	193.0818939209	0.2154776244	2.4208542216
0.5136784152	-506.9447937012	206.3041229248	0.0400412133	0.3768134611
0.5137362752	-416.1474609375	210.1495208740	0.9990442627	6.0000000000
0.5137941440	-331.2916870117	207.7499542236	0.0518145821	0.0000000000
