Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control ()	Pump Control ()
0.5213472193	-447.6513671875	605.1542968750	0.7722483675	5.2895688853
0.5213475895	-468.7944641113	484.7735595703	0.7165412645	4.5748656950
0.5213476820	-473.7960205078	464.5854492188	0.7165412645	4.5748656950
0.5213477977	-469.2491455078	101.2000961304	0.7165412645	4.5748656950
0.5213479133	-464.9296264648	37.3958168030	0.8195410391	4.3729767402
0.5213480290	-462.2014465332	21.6939811707	0.8195410391	4.3729767402
0.5213481450	-458.9979858398	-13.0630483627	0.8195410391	4.3729767402
0.5213482606	-456.9725036621	12.2230319977	0.8195410391	4.3729767402
0.5213483763	-452.8802795410	-3.4788055420	0.8195410391	4.3729767402
0.5213484920	-452.3801269531	14.3166093826	0.6898927715	4.9172462347
0.5213486078	-447.9200134277	27.9928417206	0.5950696568	4.1393566287
0.5213487239	-443.9683837891	154.8854370117	0.5950696568	4.1393566287
0.5213488395	-445.6052856445	550.5717163086	0.5950696568	4.1393566287
0.5213489552	-463.7928161621	501.9707946777	0.5950696568	4.1393566287
0.5213490709	-460.6550598145	537.0637817383	0.5950696568	4.1393566287
0.5213491865	-464.0309753418	505.7805786133	0.7702311859	3.9694447910
0.5213493022	-463.3381652832	451.1268005371	0.7702311859	3.9694447910
0.5213494179	-460.1553344727	54.0945930481	0.7702311859	3.9694447910
0.5213495336	-459.7006225586	33.9065208435	0.7702311859	3.9694447910
0.5213496494	-455.9721679688	17.6065177917	0.7702311859	3.9694447910
0.5213497652	-456.1729125977	-1.9620295763	0.6820895815	4.0626789495
0.5213498812	-452.6983642578	-5.7219238281	0.6820895815	4.0626789495
0.5213499969	-449.4700622559	14.4661512375	0.6820895815	4.0626789495
0.5213501126	-448.3333740234	6.2413783073	0.6820895815	4.0626789495
0.5213502282	-447.4240112305	40.6358795166	0.6820895815	4.0626789495
0.5213503439	-446.2872924805	573.7506103516	0.5396699070	4.0925374890
0.5213504596	-449.0154418945	537.1130371094	0.5937184060	3.2380194419
0.5213505753	-461.0646972656	552.0671997070	0.5937184060	3.2380194419
0.5213506910	-459.2459716797	492.2505798340	0.5937184060	3.2380194419
0.5213508068	-460.9821166992	464.9253234863	0.5937184060	3.2380194419
0.5213509222	-459.4733276367	291.1175537109	0.5937184060	3.2380194419
0.5213510379	-459.7764282227	18.2545242310	0.7143546867	3.8524716551
0.5213511536	-456.7451782227	15.2138557434	0.7143546867	3.8524716551
0.5213512693	-454.0169982910	9.2322072983	0.7143546867	3.8524716551
0.5213513854	-451.5575561523	5.6975917816	0.7143546867	3.8524716551
0.5213515014	-445.6052246094	-8.4136676788	0.7143546867	3.8524716551
0.5213516170	-443.5591735840	21.8435211182	0.5914436429	3.6513633068
0.5213517327	-443.6501159668	26.1802196503	0.5914436429	3.6513633068
0.5213518484	-444.2411499023	65.3101882935	0.5914436429	3.6513633068
0.5213519642	-430.8732604980	554.1607666016	0.5914436429	3.6513633068
0.5213520801	-452.0890197754	528.6648559570	0.5914436429	3.6513633068
0.5213521958	-454.2443542480	432.4340820313	0.7658374254	3.5486618573
0.5213523119	-460.8828735352	500.0267333984	0.6287296212	4.5950245522
0.5213524275	-458.1091918945	462.3423767090	0.6287296212	4.5950245522
