Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()				
0.555470043	-244.2910614	-11.53277397	0.680180936	1.360011015			Line 5	middle spring
0.555471015	-224.2846832	63.98557281	0.665457714	1.33140265			line 8	side springs
0.555471038	-222.9206085	151.4672394	0.665457714	1.33140265				
0.555471084	-226.33078	773.9329834	0.665457714	1.33140265				
0.555471154	-227.9600677	-269.4915161	0.665457714	1.33140265				
0.555471223	-230.081955	159.3181763	0.665457714	1.33140265				
0.555471293	-230.7639923	328.6737061	0.665457714	1.33140265				
0.555471732	-375.5829163	217.0161743	0.662139711	1.324199				
0.555471778	-381.6454163	252.9060669	0.662139711	1.324199				
0.555471848	-380.8118286	303.9993591	0.662139711	1.324199				
0.555471917	-376.1891479	244.9305573	0.662139711	1.324199				
0.555471987	-358.9109192	217.0161743	0.662139711	1.324199				
0.555472079	-331.2733459	88.65990448	0.665324877	1.33037967				
0.555472125	-319.1204529	-27.2346096	0.665324877	1.33037967				
0.555472195	-315.5637817	-37.20402908	0.665324877	1.33037967				
0.555472264	-312.6082764	-79.57406616	0.665324877	1.33037967				
0.555472334	-317.7235413	-84.06030273	0.665324877	1.33037967				
0.555472403	-326.77948	-72.09700012	0.665324877	1.33037967				
0.555472472	-332.0462952	-61.62910843	0.665324877	1.33037967				
0.555472542	-337.1615601	-116.5855408	0.665324877	1.33037967				
0.555472611	-338.1846008	-148.3630676	0.665324877	1.33037967				
0.555472681	-341.2537537	-97.51902771	0.667491185	1.334609343				
0.555472773	-341.2537842	-95.27590179	0.667491185	1.334609343				
0.555472819	-332.2357483	-88.04807281	0.667491185	1.334609343				
0.555472889	-321.0200195	-90.04195404	0.667491185	1.334609343				
0.555472958	-316.7762756	-95.02666473	0.667491185	1.334609343				
0.555473028	-315.6774597	-87.42498779	0.667491185	1.334609343				
0.555473097	-306.1289368	-82.93874359	0.667491185	1.334609343				
0.555473166	-304.4238586	-80.69562531	0.667491185	1.334609343				
0.555473259	-302.7869873	-84.95755768	0.669596377	1.33498237				
0.555473305	-304.4465637	-70.07819366	0.669762188	1.339192753				
0.555473375	-308.4503784	-56.54470825	0.669762188	1.339192753				
0.555473444	-315.2606506	-65.1184082	0.669762188	1.339192753				
0.555473513	-321.3231812	-73.09394073	0.669762188	1.339192753				
0.555473583	-316.7762756	-62.12757874	0.669762188	1.339192753				
