Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()
0.6661811730	-499.2194824219	-1.0574412346	0.5620054639	3.3835059585
0.6661820058	-477.3640136719	-15.7374143600	0.5555132275	3.3262489759
0.6661820058	-475.3936767578	-13.6189098358	0.5555132275	3.3262489759
0.6661820752	-478.5916442871	-8.7837429047	0.5572032766	3.3330793650
0.6661821446	-484.9573364258	-12.1484174728	0.5572032766	3.3330793650
0.6661822140	-475.9999389648	-17.9805316925	0.5572032766	3.3330793650
0.6661822834	-475.6967468262	-5.4439868927	0.5583265659	3.3432196597
0.6661823528	-470.2026367188	20.7506675720	0.5583265659	3.3432196597
0.6661824222	-473.2717285156	8.3138141632	0.5583265659	3.3432196597
0.6661824916	-469.1795654297	-1.1571359634	0.5583265659	3.3432196597
0.6661825610	-465.7693786621	-4.5218153000	0.5583265659	3.3432196597
0.6661826304	-465.6936035156	10.3076972961	0.5583265659	3.3432196597
0.6661826998	-462.0181884766	23.5171794891	0.5599832266	3.3499593951
0.6661827924	-460.6541137695	-11.2511739731	0.5599832266	3.3499593951
0.6661828618	-461.3361511230	-10.1296167374	0.5607872933	3.3598993596
0.6661829080	-456.5997924805	-14.6158485413	0.5607872933	3.3598993596
0.6661830006	-457.5849304199	-6.7649331093	0.5607872933	3.3598993596
0.6661830468	-459.2900390625	5.5722227097	0.5607872933	3.3598993596
0.6661831162	-456.9029541016	12.3015813828	0.5607872933	3.3598993596
0.6661831856	-450.4235534668	-3.4002540112	0.5607872933	3.3598993596
0.6661832550	-451.7876281738	2.2075433731	0.5622228004	3.3647237600
0.6661833244	-450.0825500488	-2.2039260864	0.5622228004	3.3647237600
0.6661833938	-445.9903564453	3.3291044235	0.5622228004	3.3647237600
0.6661834633	-445.6493225098	-1.1571317911	0.5629854582	3.3733368021
0.6661835327	-448.3775024414	-6.7649331093	0.5629854582	3.3733368021
0.6661836020	-439.9277343750	-5.6433763504	0.5629854582	3.3733368021
0.6661836714	-439.6246948242	-15.6127958298	0.5629854582	3.3733368021
0.6661837408	-443.1485595703	-5.2695212364	0.5629854582	3.3733368021
0.6661838102	-440.2309570313	16.2893505096	0.5629854582	3.3733368021
0.6661838797	-436.5933837891	10.3076972961	0.5638060072	3.3779127491
0.6661839491	-435.7597961426	-1.1571359634	0.5638060072	3.3779127491
0.6661840184	-439.6246948242	-3.6494948864	0.5638060072	3.3779127491
0.6661840878	-435.3808898926	6.3199329376	0.5626747863	3.3828360433
0.6661841572	-431.7433776855	3.3291003704	0.5626747863	3.3828360433
0.6661842267	-432.3496093750	-11.6250247955	0.5626747863	3.3828360433
0.6661842961	-433.8652648926	-11.6250286102	0.5626747863	3.3828360433
0.6661843655	-428.2574462891	2.2075393200	0.5626747863	3.3828360433
0.6661844349	-426.2113342285	-5.6433720589	0.5626747863	3.3828360433
0.6661845043	-429.0152893066	-19.6005668640	0.5580388084	3.3760487178
0.6661845737	-420.8307800293	-8.6342000961	0.5580388084	3.3760487178
0.6661846431	-426.2870788574	-2.6525480747	0.5580388084	3.3760487178
0.6661847125	-422.0433349609	7.3168716431	0.5554400510	3.3482328503
0.6661847819	-418.7089233398	3.3291003704	0.5554400510	3.3482328503
0.6661848513	-416.3217773438	4.4506654739	0.5554400510	3.3482328503
0.6661849207	-420.3003540039	12.3015813828	0.5554400510	3.3482328503
0.6661849901	-438.4121398926	5.3229899406	0.5554400510	3.3482328503
0.6661850595	-453.3953247070	19.9922790527	0.5514964055	3.3326403061
0.6661851289	-470.2026672363	-0.0355747789	0.5514964055	3.3326403061
0.6661851983	-475.6967468262	-5.6433720589	0.5514964055	3.3326403061
0.6661852677	-482.3655700684	9.3107566833	0.5513404244	3.3089784327
0.6661853371	-494.2077331543	9.8424596786	0.5513404244	3.3089784327
0.6661854065	-495.7031250000	8.3138141632	0.5513404244	3.3089784327
0.6661854759	-499.0375671387	8.3138141632	0.5513404244	3.3089784327
0.6661855453	-497.8250427246	0.3382802904	0.5513404244	3.3089784327
0.6661856147	-495.5516357422	15.2924070358	0.5513404244	3.3089784327
0.6661856841	-491.0047302246	17.9093799591	0.5530143781	3.3080425465
0.6661857535	-491.4594116211	6.3199329376	0.5530143781	3.3080425465
0.6661858229	-491.7625732422	-2.6525480747	0.5530143781	3.3080425465
0.6661859154	-486.0258483887	3.2543334961	0.5536653652	3.3180862688
0.6661859617	-486.7306213379	12.2351198196	0.5536653652	3.3180862688
0.6661860311	-483.2749328613	1.3352189064	0.5536653652	3.3180862688
0.6661861005	-483.8812561035	-6.6403150558	0.5536653652	3.3180862688
